停机位 国际国内属性 远近机位属性 滑行道 飞行任务 航空公司 机型
128 国内 近机位 A8 3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 312,320,321,32B,32V,332,333,342,343,346,744,752,762,763,772,773,788,789,AB6,D10,M11
129 国内 近机位 A9 3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 312,319,320,321,32B,32V,332,333,342,343,345,346,388,744,748,752,762,763,772,773,788,789,AB6,D10,M11,388
130 国内 近机位 A9 3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 312,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
131 国内 近机位 A9 3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 312,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,76W,AB6
132 国内 近机位 A9 3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 312,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
133 国内 近机位 A9 3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 319,320,732,733,734,735,736,738,73G
135 国内 远机位 A9 2,3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 319,320,732,733,734,735,736,738,73G,E90
136 国内 远机位 A9 2,3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 319,320,32V,732,733,734,735,736,738,73G,73H,73W,E90
137 国内 远机位 A9 2,3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 319,320,32V,732,733,734,735,736,738,73G,73H,73W,E90
138 国内 远机位 A9 2,3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 319,320,32V,732,733,734,735,736,738,73G,73H,73W,E90
139 国内 远机位 A9 2,3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 319,320,732,733,734,735,736,738,73G,E90
140 国内 远机位 A9 2,3,D,Y,Z 9C,BK,CA,GJ,HO,KY,SC,ZH 312,319,320,321,32B,32V,332,333,342,343,345,346,388,732,733,734,735,736,738,739,73G,73H,73W,741,742,743,744,748,752,762,763,772,773,788,789,AB6,D10,M11,M82,M90,388
201 国内 近机位 B6 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,332,342,732,733,734,735,736,738,73G,73H,73W,752,762,763,788,AB6
202 国内 近机位 B6 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
203 国内 近机位 B6 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,332,333,342,343,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,772,788,789,AB6,D10,M11
204 国内 近机位 B6 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,332,333,342,343,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,772,788,789,AB6,D10,M11
205 国内 近机位 B6 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,332,333,342,343,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,772,788,789,AB6,D10,M11
206 国内 近机位 B6 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,332,333,342,343,345,346,732,733,734,735,736,738,739,73G,73H,73W,741,742,743,744,752,762,763,772,773,AB6,D10,M11
207 国内 近机位 B7 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,332,333,342,343,345,346,732,733,734,735,736,738,739,73G,73H,73W,741,742,743,744,752,762,763,772,773,788,AB6,D10,M11
208 国内 近机位 B7 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,732,733,734,735,736,738,73G,73H,73W,752,762,763,AB6
209 国内 近机位 B7 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,76W,AB6
210 国内 近机位 B7 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
211 国内 近机位 B7 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,76W,AB6
212 国内 近机位 B7 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
213 国内 近机位 B7 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
214 国内 近机位 B8 3,D,Y,Z CZ,MF,NS,OQ 319,320,32V,732,733,734,735,736,738,73G,73H,73W
215 国内 近机位 B8 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,76W,AB6
216 国内 近机位 B8 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
217 国内 近机位 B8 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
218 国内 近机位 B8 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,332,333,342,343,345,346,732,733,734,735,736,738,739,73G,73H,73W,741,742,743,744,752,762,763,772,773,788,789,AB6,D10,M11
219 国内 近机位 无限制 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
220 国内 近机位 B9 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,332,333,342,343,732,733,734,735,736,738,739,73G,73H,73W,741,742,743,744,752,762,763,772,788,789,AB6,D10,M11
221 国内 近机位 B9 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,332,333,342,343,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,772,788,789,AB6,D10,M11
222 国内 近机位 B9 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,332,333,342,343,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,772,788,789,AB6,D10,M11
223 国内 近机位 B9 3,D,Y,Z CZ,MF,NS,OQ 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6
224 国内 近机位 B10 3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 732,733,734,735,736,738,73G,E90
225 国内 近机位 B10 3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 732,733,734,735,736,738,73G,73H,73W
226 国内 近机位 B10 3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 732,733,734,735,736,738,73G,73H,73W,E90
227 国内 近机位 B10 3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 319,320,32V,732,733,734,735,736,738,73G,73H,73W,E90
228 国内 近机位 B10 3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 312,313,319,320,321,32B,32V,752,762,763,AB6
229 国内 近机位 B10 3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 312,320,321,32B,32V,332,333,342,343,346,741,742,743,744,752,762,763,772,773,788,789,AB6,D10,M11
230 国内 近机位 无限制 3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 312,313,319,320,321,32B,32V,752,762,763,AB6
231 国内 近机位 B11 3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 312,320,321,32B,32V,332,333,342,343,346,741,742,743,744,752,762,763,772,773,788,789,AB6,D10,M11
232 国内 近机位 B11 3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 312,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,E90
233 国内 近机位 B11 3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 312,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6,E90
234 国内 近机位 B11 3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 312,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6,E90
235 国内 近机位 B11 3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 319,320,732,733,734,735,736,738,73G,E90
236 国内 远机位 B11 2,3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 319,320,732,733,734,735,736,738,73G,E90,G45,G55
237 国内 远机位 B11 2,3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 319,320,32V,732,733,734,735,736,738,73G,73H,73W,E90,G45,G55
238 国内 远机位 B11 2,3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 319,320,732,733,734,735,736,738,73G,E90,G45,G55
239 国内 远机位 B11 2,3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 319,320,732,733,734,735,736,738,73G,E90,G45,G55
240 国内 远机位 无限制 2,3,D,Y,Z 3U,AQ,EU,FM,GS,HU,JD,KN,MU,PN 312,319,320,321,32B,32V,332,333,342,343,345,346,732,733,734,735,736,738,739,73G,73H,73W,741,742,743,744,752,762,763,772,773,788,789,AB6,D10,M11,M82,M90
256 国内 远机位 B16 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
257 国内 远机位 B16 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,32V,733,734,735,736,738,739,73G,73H,73W,E90
258 国内 远机位 B16 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
259 国内 远机位 B16 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
261 国内 远机位 B16 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 605,850,CCJ,CR2,CR7,CR9,ER3,ER4,ERD,G15,G20,G25,G35,G45,GIV,LJ4,LJ6
263 国内 远机位 B16 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,32V,733,734,735,736,738,739,73G,73H,73W,E90
264 国内 远机位 B17 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
266 国内 远机位 B17 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 605,850,CCJ,CR2,CR7,CR9,ER3,ER4,ERD,G15,G20,G25,G35,G45,GIV,LJ4,LJ6
267 国内 远机位 B17 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
268 国内 远机位 B17 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,32V,733,734,735,736,738,739,73G,73H,73W,E90
269 国内 远机位 B17 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
270 国内 远机位 B17 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
271 国内 远机位 B21 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 733,734,735,901,E90,F70,G55,G65
272 国内 远机位 B21 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
273 国内 远机位 B21 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
274 国内 远机位 B21 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
275 国内 远机位 B21 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
276 国内 远机位 B21 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
277 国内 远机位 B21 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
278 国内 远机位 B21 2,3,4,D,Y,Z,5,O 3U,AQ,CZ,EU,FM,GS,HU,JD,KN,MF,MU,NS,OQ,PN 319,320,321,733,734,735,736,738,739,73G,E90
301 国际、国内 远机位 A3 2,3,D,M,Y,Z 2P,3K,3U,5J,7P,8M,AE,AF,AI,AK,AY,B7,BR,CI,CZ,EK,ET,FD,GA,GE,H8,HU,IA,IW,IY,JL,JT,K6,KA,KE,KQ,LH,MH,MK,MS,NH,NN,NW,O8,OX,OZ,PR,QR,QV,RJ,SG,SJ,SL,SQ,SU,SV,TG,TK,TR,TW,U6,UB,UL,UM,VN,ZB,MU 312,313,319,320,321,32B,32V,732,733,734,735,736,738,739,73G,73H,73W,752,762,763,AB6,CR2,E90,ER4,F70,M82,M90
